2016-08-27 18:00:44,525 [10] DEBUG  Daw.Services.WindowsService.Engine - Just run load http://xml.betfred.com/horse-racing-antepost.xml 
2016-08-27 18:00:44,550 [10] DEBUG  Daw.Services.WindowsService.Engine - Just run load http://oddsfeed.bet365.com/HorseRacingWEW.asp?EventGroupID=27052318 
2016-08-27 18:00:45,331 [13] FATAL  Daw.Services.WindowsService.Engine - LoadXmlFromUrl http://xml.betfred.com/horse-racing-antepost.xml failed for There was no endpoint listening at http://ocfeedproxy.cloudapp.net:8084/WhiteListedUrlService that could accept the message. This is often caused by an incorrect address or SOAP action. See InnerException, if present, for more details. 
2016-08-27 18:00:45,339 [20] FATAL  Daw.Services.WindowsService.Engine - LoadXmlFromUrl http://oddsfeed.bet365.com/HorseRacingWEW.asp?EventGroupID=27052318 failed for There was no endpoint listening at http://ocfeedproxy.cloudapp.net:8084/WhiteListedUrlService that could accept the message. This is often caused by an incorrect address or SOAP action. See InnerException, if present, for more details. 
2016-08-27 18:03:06,408 [10] DEBUG  Daw.Services.WindowsService.Engine - Just run load http://xml.betfred.com/horse-racing-antepost.xml 
2016-08-27 18:03:06,423 [10] DEBUG  Daw.Services.WindowsService.Engine - Just run load http://oddsfeed.bet365.com/HorseRacingWEW.asp?EventGroupID=27052318 
2016-08-27 18:03:07,261 [13] FATAL  Daw.Services.WindowsService.Engine - LoadXmlFromUrl http://xml.betfred.com/horse-racing-antepost.xml failed for There was no endpoint listening at http://ocfeedproxy.cloudapp.net:8084/WhiteListedUrlService that could accept the message. This is often caused by an incorrect address or SOAP action. See InnerException, if present, for more details. 
2016-08-27 18:03:07,274 [13] FATAL  Daw.Services.WindowsService.Engine - LoadXmlFromUrl http://oddsfeed.bet365.com/HorseRacingWEW.asp?EventGroupID=27052318 failed for There was no endpoint listening at http://ocfeedproxy.cloudapp.net:8084/WhiteListedUrlService that could accept the message. This is often caused by an incorrect address or SOAP action. See InnerException, if present, for more details. 
2016-08-27 18:06:45,293 [10] DEBUG  Daw.Services.WindowsService.Engine - Just run load http://xml.betfred.com/horse-racing-antepost.xml 
2016-08-27 18:07:41,967 [10] DEBUG  Daw.Services.WindowsService.Engine - Just run load http://oddsfeed.bet365.com/HorseRacingWEW.asp?EventGroupID=27052318 
2016-08-27 18:07:45,101 [12] FATAL  Daw.Services.WindowsService.Engine - LoadXmlFromUrl http://xml.betfred.com/horse-racing-antepost.xml failed for There was no endpoint listening at http://ocfeedproxy.cloudapp.net:8084/WhiteListedUrlService that could accept the message. This is often caused by an incorrect address or SOAP action. See InnerException, if present, for more details. 
2016-08-27 18:07:49,628 [14] FATAL  Daw.Services.WindowsService.Engine - LoadXmlFromUrl http://oddsfeed.bet365.com/HorseRacingWEW.asp?EventGroupID=27052318 failed for There was no endpoint listening at http://ocfeedproxy.cloudapp.net:8084/WhiteListedUrlService that could accept the message. This is often caused by an incorrect address or SOAP action. See InnerException, if present, for more details. 
2016-08-27 18:10:55,028 [10] DEBUG  Daw.Services.WindowsService.Engine - Just run load http://xml.betfred.com/horse-racing-antepost.xml 
2016-08-27 18:10:55,082 [10] DEBUG  Daw.Services.WindowsService.Engine - Just run load http://oddsfeed.bet365.com/HorseRacingWEW.asp?EventGroupID=27052318 
2016-08-27 18:11:01,462 [10] DEBUG  Daw.Services.WindowsService.Engine - Adding feed data to the queue Betfred 
2016-08-27 18:11:02,109 [10] DEBUG  Daw.Services.WindowsService.Engine - Adding feed data to the queue Bet365 
